Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681
20,15,14,4,4,4
20,39.75,16,4,4,4
20,39,18,4,4,4
2,28.25,8,4,2,2
19,38,8,4,4,4
20,36.5,12,4,4,4
20,41,20,4,4,4
20,38.625,8,4,4,4
20,36.75,16,4,4,4
19,40.25,16,4,4,4
20,12.5,0,4,0,0
20,36.5,14,4,4,4
2,31.75,14,3,2,3
20,41,20,4,4,4
20,29.5,14,4,0,0
20,36.625,12,4,0,0
20,41.375,20,4,4,4
20,37.625,20,4,2,4
20,41,18,4,4,4
20,29,8,4,4,4
20,38,20,4,4,4
20,38,18,0,0,0
0,4,0,0,0,0
20,41.5,16,4,4,4
0,34,14,4,4,4
20,36.5,20,4,4,0
20,35.5,14,4,4,0
20,41.5,19,4,4,4
0,33.25,16,4,4,4
19,31.625,14,4,4,4
20,42,18,4,4,4
0,26,0,0,0,0
20,28.25,0,4,0,0
20,37.25,16,4,4,4
19,38.25,14,4,2,4
20,40,14,4,4,4
20,40,18,4,4,4
20,10,0,0,0,0
20,41,20,4,4,4
20,38.875,16,4,4,4
2,30.625,10,4,2,4
20,38.5,14,4,4,4
20,0,14,4,4,4
20,40,14,4,4,4
20,35.5,14,4,4,4
19,34.5,14,4,0,0
20,42,14,4,4,4
19,35.5,16,4,0,0
19,5.5,18,4,4,0
20,16,14,4,4,4
20,35.25,14,4,0,0
20,35.25,5.5,4,4,4
19,42,14,4,4,4
20,40.125,18,4,4,4
20,40,14,4,4,4
20,35.5,14,0,4,4
20,20.375,0,0,0,0
19,14,16,4,0,4
20,34.375,20,0,0,0
20,40.5,10,4,4,4
19,39,18,4,4,4
20,42,8,4,4,4
20,30.75,14,0,0,0
20,37.875,14,4,4,4
19,38.125,16,4,4,0
20,41,14,4,4,4
20,4,0,0,0,0
20,34.25,14,4,0,0
20,14,14,4,4,4
20,38.625,18,4,4,4
2,34.5,8,4,4,4
20,9.5,0,0,0,0
20,34.75,12,4,4,4
20,37.5,0,4,0,4
20,35.875,14,0,0,0
20,30.5,14,0,4,0
20,39,14,4,4,4
20,11.5,8,4,4,4
20,39.625,20,4,4,0
19,38,14,3,4,4
20,25.375,14,0,4,4
20,39,17,4,4,4
20,30,14,0,0,0
20,40,16,4,4,4
20,33.5,14,4,4,4
2,29.125,14,0,0,0
19,38.5,19,4,4,4
20,39.625,16,4,4,4
20,37.5,14,4,0,0
7,31.5,14,0,0,0
20,39,16,4,4,4
20,42,16,4,4,4
2,29.625,14,4,2,4
20,7,18,4,0,0
20,41.5,20,4,4,4
0,2,0,0,0,0
19,38.5,19,4,4,4
20,35.5,16,4,4,4
20,36.375,16,4,0,0
20,39,14,4,4,4
2,22.625,14,0,4,0
20,36.5,18,0,4,3
2,34.25,14,4,4,4
20,9.5,0,0,0,0
20,37.25,20,4,4,4
20,35.5,14,0,0,0
20,34.875,14,4,4,4
20,39.5,19,4,4,4
20,30,18,3,0,4
20,38.5,14,4,0,0
20,37.5,0,4,4,0
20,38.75,18,4,4,4
20,40,20,4,4,4
20,42,20,4,4,0
20,29,0,4,4,4
20,39,14,4,4,4
20,39.5,16,4,4,4
20,39.5,20,4,4,4
20,38.625,20,4,4,0
20,35.25,14,4,4,4
20,41,20,4,4,4
19,33,14,4,4,0
20,42,20,4,4,4
20,38.375,20,4,4,4
20,30.5,14,4,4,4
20,28.5,14,4,4,0
20,41,16,4,4,4
20,42,14,4,4,4
20,40,14,4,4,0
20,16,0,0,0,0
20,37.875,14,4,4,4
20,42,14,4,4,4
20,40.5,14,4,4,4
20,35.5,16,0,4,4
20,39.75,0,0,0,0
0,2,0,0,0,0
20,35,14,4,4,4
20,4.5,0,0,0,0
20,37.25,14,4,4,4
20,42,20,4,4,4
20,40.25,20,4,0,0
20,38.5,16,4,4,4
20,41.5,10,4,0,4
20,25,8,0,0,0
20,41,16,4,4,4
20,42,16,4,4,4
20,10,0,0,0,0
20,37.5,8,4,4,4
20,33.5,14,0,0,0
20,38.25,14,4,4,4
19,31.5,14,4,0,0
20,20.5,0,0,0,0
20,40.125,16,4,4,4
20,39.5,14,4,4,4
20,36,16,4,4,4
20,37.75,14,4,4,4
20,39.75,16,4,4,4
19,35.125,20,4,4,4
20,41,18,4,4,4
19,41.25,14,4,0,4
20,42,14,4,4,4
20,41,14,4,4,4
20,39.5,8,4,4,4
20,0,14,4,4,4
20,42,14,4,4,4
0,29,0,0,0,0
20,29.5,14,4,4,4
20,37,14,0,0,0
20,39.125,18,4,4,2
20,5.5,14,0,0,0
2,41.25,14,4,0,0
20,40.5,20,4,4,4
20,15,14,0,4,3
20,25.5,14,0,2,3
0,0,0,0,0,0
20,41,14,3,3,0
20,41,18,4,4,4
20,41.5,14,4,4,4
20,41,20,4,4,4
20,42,14,4,4,3
20,35.25,12,4,4,0
20,34.375,0,4,3,3
20,12.5,20,4,4,4
20,36.5,18,4,4,4
20,39,19,4,4,4
20,34.5,14,4,4,4
20,42,20,4,4,4
20,40.875,16,4,4,4
0,0,0,0,0,0
2,33.5,0,0,0,0
20,33.5,0,4,0,0
20,39.5,14,4,4,4
20,39,20,4,4,4
0,0,0,0,0,0
20,41,18,4,4,4
20,38.75,14,4,4,4
20,38.125,20,0,4,0
20,26.5,14,4,0,4
20,40.5,8,4,4,4
20,38.5,20,4,4,4
20,13,0,0,4,0
0,0,0,0,0,0
20,30.5,20,4,4,4
20,36.875,16,4,4,4
2,35.5,16,0,0,0
0,15.25,16,0,0,0
20,32.5,20,0,0,0
20,37.375,16,4,4,4
0,35.625,14,4,4,4
20,25,14,4,4,4
20,29.5,0,0,4,0
20,41,20,4,4,4
0,0,0,0,4,0
20,40,14,4,4,4
20,10.5,0,0,4,0
20,38.25,14,4,4,4
20,37,18,0,0,0
20,26,14,0,0,0
0,7,0,0,0,0
20,11,14,4,4,4
20,37,14,0,4,4
20,37.5,14,0,4,0
0,21.75,0,0,4,0
20,30.375,8,4,0,0
20,40.375,20,4,4,4
20,40,20,4,4,4
20,5,16,4,0,0
20,39.25,14,4,4,4
19,39.5,16,4,4,4
0,0,14,0,0,0
20,36.625,14,4,3,4
20,28.5,14,4,4,0
19,40.5,16,4,4,4
