Lab 1 [Total Pts: 20 Score] |1882989
20
20
20
2
19
20
20
20
20
19
20
20
2
20
20
20
20
20
20
20
20
20
0
20
0
20
20
20
0
19
20
0
20
20
19
20
20
20
20
20
2
20
20
20
20
19
20
19
19
20
20
20
19
20
20
20
20
19
20
20
19
20
20
20
19
20
20
20
20
20
2
20
20
20
20
20
20
20
20
19
20
20
20
20
20
2
19
20
20
7
20
20
2
20
20
0
19
20
20
20
2
20
2
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
19
20
20
20
20
20
20
20
20
20
20
20
20
20
0
20
20
20
20
20
20
20
20
20
20
20
20
20
20
19
20
20
20
20
20
20
19
20
19
20
20
20
20
20
0
20
20
20
20
2
20
20
20
0
20
20
20
20
20
20
20
20
20
20
20
20
20
0
2
20
20
20
0
20
20
20
20
20
20
20
0
20
20
2
0
20
20
0
20
20
20
0
20
20
20
20
20
0
20
20
20
0
20
20
20
20
20
19
0
20
20
19
