Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Predicted Points,Predicted Grade
20,39.0,14.0,4,4,4,840.4100684156448,B
20,39.5,16.0,4,4,4,865.1392785674185,B
20,39.5,20.0,4,4,4,911.416710252761,A
20,38.625,20.0,4,4,0,798.5411567727631,C
20,35.25,14.0,4,4,4,828.4813610973757,B
20,41.0,20.0,4,4,4,916.1881931800688,A
19,33.0,14.0,4,4,0,702.6723869198526,C
20,42.0,20.0,4,4,4,919.369181798274,A
20,38.375,20.0,4,4,4,907.8380980572804,A
20,30.5,14.0,4,4,4,813.3716651609016,B
20,28.5,14.0,4,4,0,696.9174994854229,D
20,41.0,16.0,4,4,4,869.9107614947262,B
20,42.0,14.0,4,4,4,849.9530342702601,B
20,40.0,14.0,4,4,0,733.4988685947814,C
20,16.0,0.0,0,0,0,349.28664890983123,F
20,37.875,14.0,4,4,4,836.8314562201641,B
20,42.0,14.0,4,4,4,849.9530342702601,B
20,40.5,14.0,4,4,4,845.1815513429524,B
20,35.5,16.0,0,4,4,807.0893412658746,B
20,39.75,0.0,0,0,0,424.83512859220207,F
0,2.0,0.0,0,0,0,133.56158130509445,F
20,35.0,14.0,4,4,4,827.6861139428245,B
20,4.5,0.0,0,0,0,312.70527980047274,F
20,37.25,14.0,4,4,4,834.8433383337858,B
20,42.0,20.0,4,4,4,919.369181798274,A
20,40.25,20.0,4,0,0,703.1387641567406,C
20,38.5,16.0,4,4,4,861.9582899492135,B
20,41.5,10.0,4,0,4,701.5136091552092,C
20,25.0,8.0,0,0,0,470.47040984436205,F
20,41.0,16.0,4,4,4,869.9107614947262,B
20,42.0,16.0,4,4,4,873.0917501129313,B
20,10.0,0.0,0,0,0,330.2007172006007,F
20,37.5,8.0,4,4,4,766.2224379603234,C
20,33.5,14.0,0,0,0,566.924960627119,F
20,38.25,14.0,4,4,4,838.0243269519909,B
19,31.5,14.0,4,0,0,597.3294048719391,F
20,20.5,0.0,0,0,0,363.60109769175415,F
20,40.125,16.0,4,4,4,867.1273964537967,B
20,39.5,14.0,4,4,4,842.0005627247473,B
20,36.0,16.0,4,4,4,854.0058184037008,B
20,37.75,14.0,4,4,4,836.4338326428884,B
20,39.75,16.0,4,4,4,865.9345257219699,B
19,35.125,20.0,4,4,4,888.9403237006205,B
20,41.0,18.0,4,4,4,893.0494773373974,B
19,41.25,14.0,4,0,4,738.4362323385072,C
20,42.0,14.0,4,4,4,849.9530342702601,B
20,41.0,14.0,4,4,4,846.772045652055,B
20,39.5,8.0,4,4,4,772.5844151967335,C
20,0.0,14.0,4,4,4,716.3515123056463,C
20,42.0,14.0,4,4,4,849.9530342702601,B
0,29.0,0.0,0,0,0,219.44827399663183,F
20,29.5,14.0,4,4,4,810.1906765426965,B
20,37.0,14.0,0,0,0,578.0584207908369,F
20,39.125,18.0,4,4,2,832.0390294587287,B
20,5.5,14.0,0,0,0,477.8572793173767,F
2,41.25,14.0,4,0,0,482.831500992053,F
20,40.5,20.0,4,4,4,914.5976988709662,A
20,15.0,14.0,0,4,3,691.2173116402321,D
20,25.5,14.0,0,2,3,674.3319425710825,D
0,0.0,0.0,0,0,0,127.19960406868428,F
20,41.0,14.0,3,3,0,700.2054867256542,C
20,41.0,18.0,4,4,4,893.0494773373974,B
20,41.5,14.0,4,4,4,848.3625399611575,B
20,41.0,20.0,4,4,4,916.1881931800688,A
20,42.0,14.0,4,4,3,822.4299871604929,B
20,35.25,12.0,4,4,0,695.250456815636,D
20,34.375,0.0,4,3,3,611.0610632678289,D
20,12.5,20.0,4,4,4,825.5300175612236,B
20,36.5,18.0,4,4,4,878.7350285554745,B
20,39.0,19.0,4,4,4,898.256858022323,B
20,34.5,14.0,4,4,4,826.0956196337219,B
20,42.0,20.0,4,4,4,919.369181798274,A
20,40.875,16.0,4,4,4,869.5131379174505,B
0,0.0,0.0,0,0,0,127.19960406868428,F
2,33.5,0.0,0,0,0,250.8818454735413,F
20,33.5,0.0,4,0,0,450.2799325571438,F
20,39.5,14.0,4,4,4,842.0005627247473,B
20,39.0,20.0,4,4,4,909.8262159436584,A
0,0.0,0.0,0,0,0,127.19960406868428,F
20,41.0,18.0,4,4,4,893.0494773373974,B
20,38.75,14.0,4,4,4,839.6148212610935,B
20,38.125,20.0,0,4,0,751.624679634937,C
20,26.5,14.0,4,0,4,700.0762115674754,C
20,40.5,8.0,4,4,4,775.7654038149386,C
20,38.5,20.0,4,4,4,908.235721634556,A
20,13.0,0.0,0,4,0,440.31518217582175,F
0,0.0,0.0,0,0,0,127.19960406868428,F
20,30.5,20.0,4,4,4,882.7878126889153,B
20,36.875,16.0,4,4,4,856.7891834446302,B
